user,item,label,Age,pca_dim_1,pca_dim_2,pca_dim_3,pca_dim_4,pca_dim_5,pca_dim_6,pca_dim_7,pca_dim_8,pca_dim_9,pca_dim_10,Year,time
67544.0,0440214009,7.0,30.0,0.0987360679667622,-0.0168762359749833,-0.0641154732614225,-0.0435585908466139,0.0115051893442575,0.0628869072295351,0.0041829529752384,0.0031169912276026,0.0437436641404775,0.0097618969337209,1993.0,1503877172.0
67544.0,0688077080,8.0,30.0,-0.06332040123632,-0.039060191056457,0.0013229634420495,-0.0257988760768261,0.0266912685763588,0.0081132944767443,0.002604858860898,-0.1108093380562712,0.0498422726268109,-0.0358835238738858,1989.0,1371635916.0
219008.0,0679405135,4.0,60.0,0.0314058411264053,0.0607154447192939,0.0813496512423714,-0.1155918312891562,0.0631854753679789,0.0939256412402511,0.0109007389945034,0.028099757989456,-0.013740711531467,-0.0792263194550195,1996.0,1444047953.0
219008.0,0446519723,7.0,60.0,0.1505966116601499,-0.1039350109385628,0.0034050699643647,0.0224893579281412,-0.0185905441790472,-0.1360997330051449,0.0412768233582702,0.0534030955982239,0.0115885696385971,0.037840668743577,1995.0,1564548177.0
219008.0,0140096361,6.0,60.0,-0.0545944531456914,0.0017244420471437,-0.063644152881679,-0.011405063642666,-0.0149852602282911,0.1163609065902663,0.0300790412357338,-0.0262733158510218,0.0543771226899983,0.051752107657309,1987.0,1476002295.0
219008.0,0671792814,6.0,60.0,0.1562614524902034,0.0142454620144515,-0.0175038890039791,-0.0071309357521095,0.0169677687285666,-0.0945074260304609,0.1353929412452927,-0.1062616871344789,0.0224794895337136,-0.0055945902884404,1993.0,1461879754.0
219008.0,0553586270,9.0,60.0,0.0425432385560939,0.0314310506957628,-0.031735050902431,0.0713875902024882,0.0480057303269931,0.0991660842782081,-0.04905999641653,0.0121128559303797,-0.0920094334214553,0.0444319493542986,2003.0,1562194667.0
219008.0,0805066705,7.0,60.0,0.0870299876668602,0.0379636023849226,-0.0112092934295001,-0.0552705368328743,-0.0168494399405485,-0.0237721037618444,0.0565036091387136,0.0123610439334393,0.0010990747268269,-0.0577947409744503,2001.0,1479551731.0
219008.0,0670876240,7.0,60.0,0.1719900112229421,-0.0122153493583746,-0.0643904762657179,0.0295789672260859,0.0386448440492266,-0.0608422886986708,-0.0490729844372685,-0.0573543232130298,-0.0597212862738033,0.0630679302453894,1997.0,980943992.0
219008.0,0679463240,8.0,60.0,-0.0273731687468254,-0.0147334022625912,0.004084208508306,-0.1259509365958019,0.0448431893261986,0.0260973225998255,-0.0603884334370045,-0.0544176411879796,0.0182024391101069,-0.0557457210550833,2000.0,1161107056.0
219008.0,0864923686,8.0,60.0,0.1411301707472003,-0.1808603476797848,-0.0362870722272028,0.0100812437990531,0.0483715133945865,0.0531075021286684,-0.0031715043223826,-0.0106382752104366,0.0891514599337789,-0.0111140145466642,2003.0,1540200635.0
219008.0,0670845531,7.0,60.0,0.0921306209008448,-0.0370816914018901,0.0872404457695345,-0.0055552936790916,0.0045182983516167,0.0971879349773641,-0.031423343915384,0.060194937314429,-0.0353816050618977,0.0387201471865398,1992.0,1547329535.0
2954.0,0380973499,7.0,71.0,0.2358972271568532,-0.0008811494612276,0.0149028559878861,-0.0226383165828419,0.0170711136674579,-0.0550187843868966,0.0036184150826151,0.0449790499836307,0.0205942567155995,-0.0387354908369714,1997.0,1392212127.0
2954.0,0385319622,9.0,71.0,0.1677719989206575,-0.0330045236359137,-0.0789898602050855,0.0001828120259052,0.0683705318032174,-0.0974643749929707,-0.0364428572900496,0.0071276468574597,0.0431847078913736,-0.0161849829239762,2001.0,1383593758.0
2954.0,1853673110,4.0,71.0,-0.0751477397179357,-0.0444882572957483,-0.0795877235470833,-0.1828474998619422,-0.0807148075294463,0.0212560675234285,0.0242953409432625,0.1095529749495777,-0.0610449242693933,0.0488808645168856,1998.0,959343991.0
2954.0,0891415947,7.0,71.0,0.1067036417588101,0.0014734764537309,-0.0564875068568723,0.0771128664902038,0.00098470122106,0.0593079144321883,0.0609199085646458,-0.0245438149513381,0.0020927686239572,0.0866445032678831,1996.0,1074436954.0
2954.0,0060183527,7.0,71.0,-0.1112212260040972,-0.0747802761129375,-0.1313209078056169,0.0863909532429857,0.0469765936422067,-0.0122028321979989,-0.0297809214574242,-0.0225318321996408,-0.0303924965182004,0.0576461854131384,1999.0,1407416682.0
2954.0,0743201981,6.0,71.0,-0.0125675567246626,-0.0429568202572313,-0.1199012295061439,-0.0681812752712014,-0.0306126851772606,0.0875846624539594,0.0191176475217024,-0.0339939267304814,-0.0211281324510248,0.0017820515861843,2001.0,1357737031.0
2954.0,0767908244,8.0,71.0,0.1743441726427616,-0.017354677508952,-0.0846557592671519,-0.0173757266081919,0.1040600987087402,-0.0072789901935684,-0.0019284654052675,0.072955529322597,0.0160512650192388,0.0088328935792171,2001.0,958285258.0
35704.0,0375503994,10.0,53.0,-0.0098869856334575,-0.0060333765440789,0.0014896195144589,-0.0250985105675388,-0.0052721169512155,-0.0010130881959266,-0.0921446928156701,0.0466899330705624,-0.1129368718137892,-0.0221833720549464,2000.0,1068083629.0
35704.0,0553562614,8.0,53.0,-0.0861162201406958,-0.0107884886404249,0.0122048910682083,0.1048792569357244,0.1354953821531818,-0.0879418946063059,0.0495416613356644,0.1090737280624497,-0.0210783047226771,-0.018782238815277,1993.0,1292627116.0
35704.0,0887307876,8.0,53.0,-0.0654370692804451,0.0452374713821055,-0.0631095696746297,-0.0609067937478281,-0.0237389047832802,0.0385090917903977,-0.0285041151152067,0.0884855651101267,-0.0646742550283317,-0.043146354427244,1996.0,1015356449.0
35704.0,0671755056,7.0,53.0,-0.1019948121015969,0.2215079991706142,-0.0240051924740793,-0.0214107582313662,9.743736271240706e-05,0.0266917750270277,-0.0397673157194945,-0.0288885619701458,0.0383953313991255,-0.0160654951945432,1992.0,1367132869.0
35704.0,0609600761,9.0,53.0,0.1496398013009037,0.0190127384747417,-0.0753799640885484,0.0851757009659746,0.0440951470990768,-0.042320656566443,0.001265975264041,0.016527763673145,-0.0065373982435939,-0.0200811199198429,1997.0,1434743439.0
35704.0,0374146608,8.0,53.0,-0.1048076538667231,-0.0173368075478925,0.0015705507227565,-0.0786975410200894,-0.0409664912327435,0.0855532229903924,-0.052510697240023,-0.0091241046930299,-0.0084808074732874,0.1252633535153773,1995.0,1452490743.0
35704.0,0060391499,7.0,53.0,-0.0791869352029096,0.1187822798069136,-0.0881564505712373,0.0318500395864974,-0.0019739315123452,0.0408046201441514,0.0090634792422771,0.0314574835342421,0.0565405014440754,-0.0114909085025576,1996.0,1082815208.0
