user,item,label,Age,pca_dim_1,pca_dim_2,pca_dim_3,pca_dim_4,pca_dim_5,pca_dim_6,pca_dim_7,pca_dim_8,pca_dim_9,pca_dim_10,Year
67544.0,0440214009,7.0,30.0,0.09873606796676222,-0.01687623597498334,-0.0641154732614225,-0.04355859084661397,0.01150518934425754,0.0628869072295351,0.004182952975238443,0.0031169912276026324,0.04374366414047755,0.009761896933720985,1993.0
67544.0,0688077080,8.0,30.0,-0.06332040123632002,-0.03906019105645706,0.0013229634420495581,-0.025798876076826124,0.026691268576358885,0.008113294476744363,0.0026048588608980397,-0.1108093380562712,0.04984227262681093,-0.03588352387388586,1989.0
219008.0,0679405135,4.0,60.0,0.0314058411264053,0.06071544471929399,0.08134965124237148,-0.11559183128915626,0.06318547536797899,0.0939256412402511,0.01090073899450349,0.028099757989456093,-0.013740711531467045,-0.07922631945501951,1996.0
219008.0,0446519723,7.0,60.0,0.15059661166014998,-0.10393501093856283,0.003405069964364775,0.02248935792814127,-0.018590544179047257,-0.13609973300514497,0.04127682335827023,0.05340309559822396,0.011588569638597196,0.03784066874357704,1995.0
219008.0,0140096361,6.0,60.0,-0.05459445314569148,0.0017244420471437614,-0.06364415288167907,-0.011405063642666063,-0.014985260228291102,0.11636090659026631,0.03007904123573381,-0.026273315851021887,0.054377122689998315,0.051752107657309025,1987.0
219008.0,0671792814,6.0,60.0,0.1562614524902034,0.014245462014451515,-0.01750388900397913,-0.007130935752109501,0.016967768728566677,-0.09450742603046093,0.13539294124529277,-0.10626168713447895,0.02247948953371367,-0.005594590288440472,1993.0
219008.0,0553586270,9.0,60.0,0.042543238556093994,0.03143105069576283,-0.031735050902431075,0.07138759020248821,0.048005730326993123,0.09916608427820818,-0.049059996416530055,0.012112855930379767,-0.09200943342145539,0.04443194935429861,2003.0
219008.0,0805066705,7.0,60.0,0.08702998766686028,0.03796360238492267,-0.011209293429500172,-0.05527053683287438,-0.016849439940548515,-0.023772103761844403,0.056503609138713606,0.012361043933439399,0.0010990747268269695,-0.057794740974450316,2001.0
219008.0,0670876240,7.0,60.0,0.17199001122294216,-0.012215349358374643,-0.06439047626571791,0.02957896722608591,0.038644844049226634,-0.06084228869867082,-0.04907298443726852,-0.057354323213029884,-0.05972128627380335,0.06306793024538943,1997.0
219008.0,0679463240,8.0,60.0,-0.02737316874682542,-0.014733402262591212,0.004084208508306026,-0.12595093659580195,0.04484318932619864,0.02609732259982557,-0.060388433437004556,-0.054417641187979635,0.018202439110106973,-0.055745721055083346,2000.0
219008.0,0864923686,8.0,60.0,0.14113017074720033,-0.1808603476797848,-0.03628707222720289,0.010081243799053107,0.04837151339458658,0.0531075021286684,-0.0031715043223826556,-0.010638275210436643,0.08915145993377899,-0.011114014546664277,2003.0
